Total Nacional;Comunidades y Ciudades Autónomas;Actividad principal (CNAE 2009);Estrato de asalariados;Total
Total Nacional;05 Canarias;70  Actividades de las sedes centrales actividades de consultoría de gestión empresarial;Total;58
Total Nacional;05 Canarias;70  Actividades de las sedes centrales actividades de consultoría de gestión empresarial;Cero;50
Total Nacional;05 Canarias;70  Actividades de las sedes centrales actividades de consultoría de gestión empresarial;1 a 4;8
Total Nacional;05 Canarias;70  Actividades de las sedes centrales actividades de consultoría de gestión empresarial;5 a 9;0
Total Nacional;05 Canarias;70  Actividades de las sedes centrales actividades de consultoría de gestión empresarial;10 y más;0
Total Nacional;05 Canarias;71  Servicios técnicos de arquitectura e ingeniería ensayos y análisis técnicos;Total;259
Total Nacional;05 Canarias;71  Servicios técnicos de arquitectura e ingeniería ensayos y análisis técnicos;Cero;246
Total Nacional;05 Canarias;71  Servicios técnicos de arquitectura e ingeniería ensayos y análisis técnicos;1 a 4;13
Total Nacional;05 Canarias;71  Servicios técnicos de arquitectura e ingeniería ensayos y análisis técnicos;5 a 9;0
Total Nacional;05 Canarias;71  Servicios técnicos de arquitectura e ingeniería ensayos y análisis técnicos;10 y más;0
Total Nacional;05 Canarias;72  Investigación y desarrollo;Total;141
Total Nacional;05 Canarias;72  Investigación y desarrollo;Cero;136
Total Nacional;05 Canarias;72  Investigación y desarrollo;1 a 4;2
Total Nacional;05 Canarias;72  Investigación y desarrollo;5 a 9;3
Total Nacional;05 Canarias;72  Investigación y desarrollo;10 y más;0
Total Nacional;05 Canarias;73  Publicidad y estudios de mercado;Total;345
Total Nacional;05 Canarias;73  Publicidad y estudios de mercado;Cero;329
Total Nacional;05 Canarias;73  Publicidad y estudios de mercado;1 a 4;11
Total Nacional;05 Canarias;73  Publicidad y estudios de mercado;5 a 9;5
Total Nacional;05 Canarias;73  Publicidad y estudios de mercado;10 y más;0
Total Nacional;05 Canarias;74  Otras actividades profesionales, científicas y técnicas;Total;383
Total Nacional;05 Canarias;74  Otras actividades profesionales, científicas y técnicas;Cero;370
Total Nacional;05 Canarias;74  Otras actividades profesionales, científicas y técnicas;1 a 4;13
Total Nacional;05 Canarias;74  Otras actividades profesionales, científicas y técnicas;5 a 9;0
Total Nacional;05 Canarias;74  Otras actividades profesionales, científicas y técnicas;10 y más;0
Total Nacional;05 Canarias;75  Actividades veterinarias;Total;29
Total Nacional;05 Canarias;75  Actividades veterinarias;Cero;21
Total Nacional;05 Canarias;75  Actividades veterinarias;1 a 4;5
Total Nacional;05 Canarias;75  Actividades veterinarias;5 a 9;1
Total Nacional;05 Canarias;75  Actividades veterinarias;10 y más;2
Total Nacional;05 Canarias;77  Actividades de alquiler;Total;75
Total Nacional;05 Canarias;77  Actividades de alquiler;Cero;68
Total Nacional;05 Canarias;77  Actividades de alquiler;1 a 4;7
Total Nacional;05 Canarias;77  Actividades de alquiler;5 a 9;0
Total Nacional;05 Canarias;77  Actividades de alquiler;10 y más;0
Total Nacional;05 Canarias;78  Actividades relacionadas con el empleo;Total;33
Total Nacional;05 Canarias;78  Actividades relacionadas con el empleo;Cero;25
Total Nacional;05 Canarias;78  Actividades relacionadas con el empleo;1 a 4;5
Total Nacional;05 Canarias;78  Actividades relacionadas con el empleo;5 a 9;3
Total Nacional;05 Canarias;78  Actividades relacionadas con el empleo;10 y más;0
Total Nacional;05 Canarias;79  Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;Total;54
Total Nacional;05 Canarias;79  Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;Cero;50
Total Nacional;05 Canarias;79  Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;1 a 4;3
Total Nacional;05 Canarias;79  Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;5 a 9;0
Total Nacional;05 Canarias;79  Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;10 y más;1
Total Nacional;05 Canarias;80  Actividades de seguridad e investigación;Total;10
Total Nacional;05 Canarias;80  Actividades de seguridad e investigación;Cero;7
Total Nacional;05 Canarias;80  Actividades de seguridad e investigación;1 a 4;2
Total Nacional;05 Canarias;80  Actividades de seguridad e investigación;5 a 9;1
Total Nacional;05 Canarias;80  Actividades de seguridad e investigación;10 y más;0
Total Nacional;05 Canarias;81  Servicios a edificios y actividades de jardinería;Total;394
Total Nacional;05 Canarias;81  Servicios a edificios y actividades de jardinería;Cero;343
Total Nacional;05 Canarias;81  Servicios a edificios y actividades de jardinería;1 a 4;43
Total Nacional;05 Canarias;81  Servicios a edificios y actividades de jardinería;5 a 9;4
Total Nacional;05 Canarias;81  Servicios a edificios y actividades de jardinería;10 y más;4
Total Nacional;05 Canarias;82  Actividades administrativas de oficina y otras actividades auxiliares a las empresas;Total;596
Total Nacional;05 Canarias;82  Actividades administrativas de oficina y otras actividades auxiliares a las empresas;Cero;557
Total Nacional;05 Canarias;82  Actividades administrativas de oficina y otras actividades auxiliares a las empresas;1 a 4;33
Total Nacional;05 Canarias;82  Actividades administrativas de oficina y otras actividades auxiliares a las empresas;5 a 9;2
Total Nacional;05 Canarias;82  Actividades administrativas de oficina y otras actividades auxiliares a las empresas;10 y más;4
Total Nacional;05 Canarias;85  Educación;Total;573
Total Nacional;05 Canarias;85  Educación;Cero;529
Total Nacional;05 Canarias;85  Educación;1 a 4;39
Total Nacional;05 Canarias;85  Educación;5 a 9;5
Total Nacional;05 Canarias;85  Educación;10 y más;0
Total Nacional;05 Canarias;86  Actividades sanitarias;Total;609
Total Nacional;05 Canarias;86  Actividades sanitarias;Cero;577
Total Nacional;05 Canarias;86  Actividades sanitarias;1 a 4;26
Total Nacional;05 Canarias;86  Actividades sanitarias;5 a 9;5
Total Nacional;05 Canarias;86  Actividades sanitarias;10 y más;1
Total Nacional;05 Canarias;87  Asistencia en establecimientos residenciales;Total;5
Total Nacional;05 Canarias;87  Asistencia en establecimientos residenciales;Cero;5
Total Nacional;05 Canarias;87  Asistencia en establecimientos residenciales;1 a 4;0
Total Nacional;05 Canarias;87  Asistencia en establecimientos residenciales;5 a 9;0
Total Nacional;05 Canarias;87  Asistencia en establecimientos residenciales;10 y más;0
Total Nacional;05 Canarias;88  Actividades de servicios sociales sin alojamiento;Total;16
Total Nacional;05 Canarias;88  Actividades de servicios sociales sin alojamiento;Cero;13
Total Nacional;05 Canarias;88  Actividades de servicios sociales sin alojamiento;1 a 4;2
Total Nacional;05 Canarias;88  Actividades de servicios sociales sin alojamiento;5 a 9;1
Total Nacional;05 Canarias;88  Actividades de servicios sociales sin alojamiento;10 y más;0
Total Nacional;05 Canarias;90  Actividades de creación, artísticas y espectáculos;Total;290
Total Nacional;05 Canarias;90  Actividades de creación, artísticas y espectáculos;Cero;276
Total Nacional;05 Canarias;90  Actividades de creación, artísticas y espectáculos;1 a 4;12
Total Nacional;05 Canarias;90  Actividades de creación, artísticas y espectáculos;5 a 9;1
Total Nacional;05 Canarias;90  Actividades de creación, artísticas y espectáculos;10 y más;1
Total Nacional;05 Canarias;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;Total;23
Total Nacional;05 Canarias;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;Cero;23
Total Nacional;05 Canarias;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;1 a 4;0
Total Nacional;05 Canarias;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;5 a 9;0
Total Nacional;05 Canarias;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;10 y más;0
Total Nacional;05 Canarias;92  Actividades de juegos de azar y apuestas;Total;21
Total Nacional;05 Canarias;92  Actividades de juegos de azar y apuestas;Cero;15
Total Nacional;05 Canarias;92  Actividades de juegos de azar y apuestas;1 a 4;6
Total Nacional;05 Canarias;92  Actividades de juegos de azar y apuestas;5 a 9;0
Total Nacional;05 Canarias;92  Actividades de juegos de azar y apuestas;10 y más;0
Total Nacional;05 Canarias;93  Actividades deportivas, recreativas y de entretenimiento;Total;219
Total Nacional;05 Canarias;93  Actividades deportivas, recreativas y de entretenimiento;Cero;154
Total Nacional;05 Canarias;93  Actividades deportivas, recreativas y de entretenimiento;1 a 4;59
Total Nacional;05 Canarias;93  Actividades deportivas, recreativas y de entretenimiento;5 a 9;3
Total Nacional;05 Canarias;93  Actividades deportivas, recreativas y de entretenimiento;10 y más;3
Total Nacional;05 Canarias;94  Actividades asociativas;Total;112
Total Nacional;05 Canarias;94  Actividades asociativas;Cero;72
Total Nacional;05 Canarias;94  Actividades asociativas;1 a 4;37
Total Nacional;05 Canarias;94  Actividades asociativas;5 a 9;2
Total Nacional;05 Canarias;94  Actividades asociativas;10 y más;1
Total Nacional;05 Canarias;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;Total;170
Total Nacional;05 Canarias;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;Cero;163
Total Nacional;05 Canarias;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;1 a 4;7
Total Nacional;05 Canarias;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;5 a 9;0
Total Nacional;05 Canarias;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;10 y más;0
Total Nacional;05 Canarias;96  Otros servicios personales;Total;830
Total Nacional;05 Canarias;96  Otros servicios personales;Cero;690
Total Nacional;05 Canarias;96  Otros servicios personales;1 a 4;129
Total Nacional;05 Canarias;96  Otros servicios personales;5 a 9;11
Total Nacional;05 Canarias;96  Otros servicios personales;10 y más;0
Total Nacional;06 Cantabria;Todas las actividades;Total;2.635
Total Nacional;06 Cantabria;Todas las actividades;Cero;2.186
Total Nacional;06 Cantabria;Todas las actividades;1 a 4;393
Total Nacional;06 Cantabria;Todas las actividades;5 a 9;46
Total Nacional;06 Cantabria;Todas las actividades;10 y más;10
Total Nacional;06 Cantabria;05  Extracción de antracita, hulla y lignito;Total;0
Total Nacional;06 Cantabria;05  Extracción de antracita, hulla y lignito;Cero;0
Total Nacional;06 Cantabria;05  Extracción de antracita, hulla y lignito;1 a 4;0
Total Nacional;06 Cantabria;05  Extracción de antracita, hulla y lignito;5 a 9;0
Total Nacional;06 Cantabria;05  Extracción de antracita, hulla y lignito;10 y más;0
Total Nacional;06 Cantabria;06  Extracción de crudo de petróleo y gas natural;Total;0
Total Nacional;06 Cantabria;06  Extracción de crudo de petróleo y gas natural;Cero;0
Total Nacional;06 Cantabria;06  Extracción de crudo de petróleo y gas natural;1 a 4;0
Total Nacional;06 Cantabria;06  Extracción de crudo de petróleo y gas natural;5 a 9;0
Total Nacional;06 Cantabria;06  Extracción de crudo de petróleo y gas natural;10 y más;0
Total Nacional;06 Cantabria;07  Extracción de minerales metálicos;Total;0
Total Nacional;06 Cantabria;07  Extracción de minerales metálicos;Cero;0
Total Nacional;06 Cantabria;07  Extracción de minerales metálicos;1 a 4;0
Total Nacional;06 Cantabria;07  Extracción de minerales metálicos;5 a 9;0
Total Nacional;06 Cantabria;07  Extracción de minerales metálicos;10 y más;0
Total Nacional;06 Cantabria;08  Otras industrias extractivas;Total;0
Total Nacional;06 Cantabria;08  Otras industrias extractivas;Cero;0
Total Nacional;06 Cantabria;08  Otras industrias extractivas;1 a 4;0
Total Nacional;06 Cantabria;08  Otras industrias extractivas;5 a 9;0
Total Nacional;06 Cantabria;08  Otras industrias extractivas;10 y más;0
Total Nacional;06 Cantabria;09  Actividades de apoyo a las industrias extractivas;Total;0
Total Nacional;06 Cantabria;09  Actividades de apoyo a las industrias extractivas;Cero;0
Total Nacional;06 Cantabria;09  Actividades de apoyo a las industrias extractivas;1 a 4;0
Total Nacional;06 Cantabria;09  Actividades de apoyo a las industrias extractivas;5 a 9;0
Total Nacional;06 Cantabria;09  Actividades de apoyo a las industrias extractivas;10 y más;0
Total Nacional;06 Cantabria;10  Industria de la alimentación;Total;15
Total Nacional;06 Cantabria;10  Industria de la alimentación;Cero;10
Total Nacional;06 Cantabria;10  Industria de la alimentación;1 a 4;5
Total Nacional;06 Cantabria;10  Industria de la alimentación;5 a 9;0
Total Nacional;06 Cantabria;10  Industria de la alimentación;10 y más;0
Total Nacional;06 Cantabria;11  Fabricación de bebidas;Total;2
Total Nacional;06 Cantabria;11  Fabricación de bebidas;Cero;2
Total Nacional;06 Cantabria;11  Fabricación de bebidas;1 a 4;0
Total Nacional;06 Cantabria;11  Fabricación de bebidas;5 a 9;0
Total Nacional;06 Cantabria;11  Fabricación de bebidas;10 y más;0
Total Nacional;06 Cantabria;12  Industria del tabaco;Total;0
Total Nacional;06 Cantabria;12  Industria del tabaco;Cero;0
Total Nacional;06 Cantabria;12  Industria del tabaco;1 a 4;0
Total Nacional;06 Cantabria;12  Industria del tabaco;5 a 9;0
Total Nacional;06 Cantabria;12  Industria del tabaco;10 y más;0
Total Nacional;06 Cantabria;13  Industria textil;Total;8
Total Nacional;06 Cantabria;13  Industria textil;Cero;6
Total Nacional;06 Cantabria;13  Industria textil;1 a 4;2
Total Nacional;06 Cantabria;13  Industria textil;5 a 9;0
Total Nacional;06 Cantabria;13  Industria textil;10 y más;0
Total Nacional;06 Cantabria;14  Confección de prendas de vestir;Total;6
Total Nacional;06 Cantabria;14  Confección de prendas de vestir;Cero;4
Total Nacional;06 Cantabria;14  Confección de prendas de vestir;1 a 4;2
Total Nacional;06 Cantabria;14  Confección de prendas de vestir;5 a 9;0
Total Nacional;06 Cantabria;14  Confección de prendas de vestir;10 y más;0
Total Nacional;06 Cantabria;15  Industria del cuero y del calzado;Total;0
Total Nacional;06 Cantabria;15  Industria del cuero y del calzado;Cero;0
Total Nacional;06 Cantabria;15  Industria del cuero y del calzado;1 a 4;0
Total Nacional;06 Cantabria;15  Industria del cuero y del calzado;5 a 9;0
